login_id,customer_id,device_id,ip_address,location,login_timestamp,login_status
f448a9f7-34f5-4076-8726-a2ce0a1c27f6,12788482-58dc-4338-b9b5-3206ae355e45,4fce562d-8db6-4548-8171-e1e2efd476d6,100.161.189.252,South Sarahton,2026-06-02 18:16:38,FAILED
0f918918-22bb-42bc-8cd2-f9f9373067b3,ac108920-54fb-421e-bba1-99ff538367cc,95d92d35-1090-484d-ad81-ad5157df715d,107.97.85.126,Stephanieside,2026-01-22 23:55:48,SUCCESS
7a95f6c4-a1cf-4116-b4e1-1f47153a4d7e,6c99c632-b7d1-47b6-959e-94e709d61f4c,cad7be83-410e-483d-920b-92a70480bd7c,44.158.28.251,Brownside,2026-04-25 08:34:03,SUCCESS
1c8355bc-46de-4fe8-b453-13eef5ceef62,9d7bd55b-6b89-4a78-af3c-6bc258bc64c7,75c5a89e-ddb9-428d-a661-44c364467536,29.127.60.249,Port David,2026-04-03 02:27:41,FAILED
170f509d-606e-4ca3-941f-6a212f43b60f,2689ccae-a7e6-4560-a292-3779abf394ce,dae8a452-0e2a-4153-b4da-6a3f723d4b48,115.219.83.23,Emmaville,2026-03-09 11:29:35,SUCCESS
b5a17e62-4a43-4672-9447-9b024750df12,ab9752ff-b5c6-41d3-a8f4-dd77db6a10f2,187eafc8-38a2-40b3-aa84-1cf055b961d9,120.33.233.57,Courtneybury,2026-06-08 16:32:40,SUCCESS
339b28a5-bd0c-4bb5-80b4-7a6a614a66e5,31219718-bfce-458b-ab31-ffb363a53e28,9b73a68c-1c48-4d9a-99d8-b12c9c4d816f,15.99.14.255,Davidfurt,2026-04-02 05:06:30,SUCCESS
2fe257c9-40be-459e-b5a2-a6f2ebeaf8b8,8b4e5f77-d46f-4a5c-ba98-03b87ff23203,c7c19cc8-6545-40ff-be5e-633e1f07150f,94.41.85.194,Feliciaport,2026-02-09 23:32:41,SUCCESS
89f6d1a6-7c8f-4fab-9316-59b7acd8d120,7deece30-28cf-420c-a026-d6bbc8aee291,676bda5b-9a5d-4c49-b634-a9841dd2385a,113.95.50.78,New Paige,2026-05-14 06:40:35,SUCCESS
ee70525d-1181-4bae-aab1-9cc7e4e1ceb4,dada5ef3-37e2-4f6a-b5ea-86a97c6d3896,df3409f8-8cdf-4227-a0c5-01900f5dd815,100.154.135.144,Elliston,2026-04-03 07:17:58,SUCCESS
fedfba94-19a1-45fe-983d-46bda732e165,a381e830-d143-4c6f-8493-6288bb6ff96a,98cb6986-b002-4e4f-b500-516c407ebac7,173.219.234.107,Port Sara,2026-04-07 16:14:08,SUCCESS
7dbceb3e-063b-45d0-8ba4-9a032119cb1f,e82ba398-3539-4fdf-8b26-b203f9f45a68,8ea7a34f-dbe3-4bef-abd4-e8a531b2d5d9,122.72.81.163,Larryland,2026-05-30 04:54:56,SUCCESS
2276ae13-3313-4828-95b4-4fc149314e1c,46c6f46a-4411-4052-8e0d-a21c46d40da9,0fdb1a53-162c-4889-9825-3a71ffeb015f,76.3.0.114,Port Jennifer,2026-01-15 21:46:16,FAILED
db102969-35a4-423a-a4cb-7c8e99d201c4,e7b11f11-f154-4d90-adef-3feccbf9d638,e990b692-d4a1-4fb6-8d21-b768e5940b0e,208.205.113.239,North Jackhaven,2026-03-08 00:45:20,SUCCESS
14801432-fa3b-497e-b5c7-01b842359b1a,58cf6c94-2bf6-4739-bf1e-a978a459691d,40c7936b-ae88-4759-9c78-98e21eb8ab39,32.109.32.200,North Colton,2026-03-05 09:25:32,SUCCESS
492f751c-2146-4282-af56-5f4ba3a1ae8d,da97b114-801c-473f-91e3-23917c5ba1bf,1126251f-1c50-466a-9b2b-740ce6c90912,39.7.223.180,Ellistown,2026-03-06 02:30:04,SUCCESS
