leg_id,transaction_id,account_id,direction,amount,currency
43f481ac-cdd1-438f-90b1-9df5246b3b43,07eb6357-e808-4a38-9c70-f00a4799990d,73487ba9-2281-4a05-856f-cd7f81170f9b,DEBIT,659.36,PHP
e03fe61d-8bae-4956-b499-613d24c7121b,07eb6357-e808-4a38-9c70-f00a4799990d,94795967-42a1-410d-8bdc-fcc26f5699b9,CREDIT,659.36,PHP
3743db89-e27b-4efa-a119-84dac8b1756f,d3751422-ecf5-4cdf-bd63-d89c7f875e47,5205f3d9-002e-4e44-870c-318a926b2a15,DEBIT,2683.3,PHP
4e5ff10c-e21b-49bc-aee0-fefc8bce229b,d3751422-ecf5-4cdf-bd63-d89c7f875e47,dd93c945-aaa5-4e63-a8b2-702c99fb1076,CREDIT,2683.3,PHP
4327862d-752b-42a9-804f-dda37e72bebb,bae1c742-218c-4854-8ff3-6370c4035c7e,5514f86a-8295-4b0c-8be1-e4e4e77cce36,DEBIT,293.36,PHP
165f6248-f785-40a0-9ca9-8d374633f707,bae1c742-218c-4854-8ff3-6370c4035c7e,d21cf784-ac29-4504-a1e7-b62cb857a595,CREDIT,293.36,PHP
bd87ef79-9119-4b91-9891-e87f7afc6c58,cc972260-4e3e-4cb1-a132-226f5ffd2c34,70e6d4e4-8aa1-41b2-987d-b440f0acdd48,DEBIT,84.6,PHP
721a23df-d3b1-49f6-91ec-084202b0b324,cc972260-4e3e-4cb1-a132-226f5ffd2c34,c20bbdf4-e351-49dc-8c52-6ec0a3e9f913,CREDIT,84.6,PHP
3211a274-c120-4beb-ae79-3612ad2748fe,2ce04c75-1f4a-4594-93b3-fcc778c0a953,6c65d570-a1f7-433d-b8c0-e9438bd44719,DEBIT,1164.21,PHP
1408547d-693a-46b5-8e8f-a1a37afd3f7f,2ce04c75-1f4a-4594-93b3-fcc778c0a953,f9c70164-0658-4e5e-9e78-604cbd93f95f,CREDIT,1164.21,PHP
68baab23-1e84-4492-94ad-6bcc67df2785,d14d5f40-f833-4676-85ce-beb4ac0fdfe9,a1d8572e-e049-48e4-b146-92df55f0f517,DEBIT,842.27,PHP
02da4a14-c9f2-4293-b9ed-74694401560e,d14d5f40-f833-4676-85ce-beb4ac0fdfe9,ab302b71-d14a-4232-af46-386cdcc099f6,CREDIT,842.27,PHP
e07ce955-2d8f-4b55-9a7a-c38fe6ecc309,88e9db49-a603-43d0-a351-b244471c27ff,e35009ab-aa84-4651-81a6-612f326341eb,DEBIT,5494.47,PHP
48ed1ff1-440c-4ac7-b46b-bc102153a714,88e9db49-a603-43d0-a351-b244471c27ff,bda3c589-e974-4026-86a1-157e104e5d59,CREDIT,5494.47,PHP
acd53190-4f87-4e7b-995c-c69e01908463,ea375515-3f2e-40e5-b982-6216651fa7b1,5b8bfe00-6242-4a27-9bcd-225f3cb4007e,DEBIT,1140.92,PHP
