alert_id,transaction_id,analysis_id,alert_type,severity,status,created_at,resolved_at
509b8e4a-c17d-462b-bd3b-ba89b398e499,c1580b1b-16c9-47fd-9ed4-94f0c8d9efcd,748bcd6f-9028-4c2c-b711-e7e803ca24ea,Fraud Detection,CRITICAL,RESOLVED,2026-06-21 23:29:37.207506,
e6f728fa-d5b0-4036-91f4-e4c20b47b210,1ef18b88-cbc0-4448-b7d7-0d9132e9ea96,39fc5556-ec54-43d7-a35c-9013fbe8b548,Fraud Detection,HIGH,RESOLVED,2026-06-21 23:29:37.207506,
fb9cfd20-b42b-4b26-840e-e50fb11cab19,03beeb75-3b74-4e89-b904-44906e201eca,c3d7696b-6883-49f7-bd8c-ef872b46e06d,Fraud Detection,CRITICAL,INVESTIGATING,2026-06-21 23:29:37.207506,
201d850f-5c1e-4b44-934e-4efddfa30927,99507c6d-447e-47e2-b647-04fb6459bd1c,bac06780-1d90-4923-b977-3fc2cf28f0c4,Fraud Detection,HIGH,INVESTIGATING,2026-06-21 23:29:37.207506,
2c88384a-3290-4277-bf31-fdc9d35f1c85,d9b7730a-3ae1-4c75-8acc-65190e8a793b,21a6dad9-8e12-48fd-9396-042652217c73,Fraud Detection,HIGH,RESOLVED,2026-06-21 23:29:37.207506,
0871c3bc-71db-48f5-b7cb-60afffc200d7,73fa9a5a-42ca-4e49-ad42-159e794488a7,6541d981-643f-4cea-b8c7-f2d3bf6cf114,Fraud Detection,HIGH,RESOLVED,2026-06-21 23:29:37.207506,
1e838cd2-c03a-41ce-b451-f806d000b37d,8377c45b-880d-46ff-beb0-ad9894610b97,a00ca137-a38f-443a-b2c1-40e9304ee17e,Fraud Detection,CRITICAL,INVESTIGATING,2026-06-21 23:29:37.207506,
8d3ea654-f46f-4353-9aff-f558367767dc,c6f56ae8-1812-4564-93d5-e352ed609e8a,73e397e9-6a89-484f-b7a4-24b080e8a9f8,Fraud Detection,CRITICAL,INVESTIGATING,2026-06-21 23:29:37.207506,
d38e6050-7549-42ec-ab83-9b458583ec9b,a467f7c8-62ae-42ef-8c52-a91b5146a387,d6004603-df2a-4aad-b2f3-2357b9568b85,Fraud Detection,CRITICAL,INVESTIGATING,2026-06-21 23:29:37.207506,
e8baff0d-57f8-4bfb-a7b1-aea18d44edc8,f8e0724e-6f26-48df-99f0-f81ccfb746e7,952f5706-02b1-4663-8523-3e9bc3b91bb2,Fraud Detection,HIGH,RESOLVED,2026-06-21 23:29:37.207506,
a7a8fbe6-32db-4dd7-931f-e1f11a3894af,140237ad-a78c-499b-820b-63a8792974de,058e9eed-d7c5-4896-9144-e0913a07e596,Fraud Detection,CRITICAL,OPEN,2026-06-21 23:29:37.207506,
ecb9f592-1c45-467e-ae57-43df4222d855,b50d61ab-1d67-43c3-af74-e197c3922e26,a996d69b-de90-498c-8efd-eed2b7fe2b3c,Fraud Detection,CRITICAL,INVESTIGATING,2026-06-21 23:29:37.207506,
0594d581-d8f8-48cb-acf5-a7823d937901,194429c4-e6f7-47d0-bac3-a90ed1f6a70a,20457281-4ce4-4e6e-b254-e8cc74a56aa6,Fraud Detection,CRITICAL,INVESTIGATING,2026-06-21 23:29:37.207506,
f25a289c-de40-461c-bdbb-1d370f4d379e,8380d855-d315-42a9-88cb-03bd4dea8f6b,f0994237-1020-49b7-843c-33b5503b4e2d,Fraud Detection,HIGH,INVESTIGATING,2026-06-21 23:29:37.207506,
69b00ea1-d169-4c64-a967-5f5213a75acd,38654ae3-b2e7-464e-8487-78fe13dbe90c,da191735-cacb-4978-94c2-da84635d476f,Fraud Detection,HIGH,RESOLVED,2026-06-21 23:29:37.207506,
3cef4eb0-17c4-4351-8b09-1592b87f0565,6aa8eec9-e2bd-491f-9a48-aad4f2a91cb2,602d170c-619b-4169-8ee2-23abd22884b9,Fraud Detection,CRITICAL,OPEN,2026-06-21 23:29:37.207506,
d84a63d5-dfb9-4387-a7da-d48bf620dca1,dceda219-750a-49e4-a4e9-22108d891eba,b319104a-cf51-4fdd-901c-b5953443dbec,Fraud Detection,HIGH,INVESTIGATING,2026-06-21 23:29:37.207506,
